City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,sawai madhopur,25.9833,76.3667,303.2,20,8,2.87,IN,1713900376
322,wynyard,-41.0,145.7167,282.45,73,99,8.41,AU,1713900379
323,kanniyakumari,8.0833,77.5667,301.79,81,62,2.73,IN,1713900380
324,arkhangel'sk,64.5401,40.5433,275.44,87,75,6.0,RU,1713900323
325,moyale,3.5167,39.0584,295.81,72,83,2.24,KE,1713900382
326,likasi,-10.9814,26.7333,291.45,85,96,1.54,CD,1713900383
327,seminole,28.7086,-81.2081,300.49,51,75,5.66,US,1713900226
328,haiku-pauwela,20.9219,-156.3051,298.83,72,20,8.23,US,1713900385
329,kayangel,8.0823,134.7173,300.71,84,99,4.45,PW,1713900273
330,damara,4.9608,18.7035,298.47,75,100,2.18,CF,1713900386
331,chardara,41.2547,67.9692,296.67,30,6,2.74,KZ,1713900387
332,jimma,7.6667,36.8333,291.9,81,26,1.08,ET,1713900389
333,ulladulla,-35.35,150.4667,291.29,56,100,3.08,AU,1713900390
334,otjimbingwe,-22.35,16.1333,299.27,20,0,1.43,NA,1713900114
335,garoua boulai,5.8833,14.55,296.2,63,100,0.07,CM,1713900391
336,general mosconi,-23.1851,-62.303,305.62,54,100,1.68,AR,1713900392
337,dakhla,23.6848,-15.958,293.16,83,100,8.75,EH,1713900392
338,rongelap,11.1635,166.8941,300.44,86,41,9.58,MH,1713900394
339,konokovo,44.8616,41.3266,285.58,69,33,1.53,RU,1713900395
340,nelson bay,-32.7167,152.15,290.93,93,100,2.68,AU,1713900396
341,pinarbasi,38.7229,36.3931,288.62,41,6,1.84,TR,1713900396
342,selfoss,63.9331,-20.9971,281.51,68,98,3.32,IS,1713900397
343,urzhar,47.093,81.6294,284.71,38,0,3.64,KZ,1713900398
344,patong,7.8961,98.2966,301.23,84,100,3.7,TH,1713900398
345,khamis mushait,18.3064,42.7292,294.73,30,40,7.2,SA,1713900399
346,bel ombre,-4.6167,55.4167,302.06,79,20,5.66,SC,1713900400
347,bubaque,11.2833,-15.8333,298.76,71,94,8.66,GW,1713900400
348,el granada,37.5027,-122.4694,291.61,70,100,8.23,US,1713900401
349,mejit,10.2753,170.8646,300.33,86,100,10.19,MH,1713900402
350,nova xavantina,-14.6667,-52.35,303.64,58,3,1.44,BR,1713900402
351,jabat,7.75,168.9751,300.85,85,100,10.14,MH,1713900418
352,bondo,3.8146,23.6866,301.76,53,100,0.67,CD,1713900419
353,vernon,50.2581,-119.2691,291.35,34,83,1.54,CA,1713900366
354,monrovia,6.3005,-10.7969,302.02,81,20,3.54,LR,1713900425
355,north bay,46.3168,-79.4663,281.16,93,100,4.63,CA,1713900342
356,new plymouth,-39.0667,174.0833,285.82,83,100,4.73,NZ,1713900426
357,pemangkat,1.1667,108.9667,298.97,91,85,2.41,ID,1713900427
358,dajal,29.5577,70.3762,303.67,17,0,2.14,PK,1713900428
359,kingston,17.997,-76.7936,305.46,66,40,6.69,JM,1713900377
360,atchison,39.563,-95.1216,297.21,35,99,6.2,US,1713900429
361,chandbali,20.7833,86.7667,302.35,59,0,4.72,IN,1713900430
362,sydney,-33.8679,151.2073,291.68,79,100,4.63,AU,1713900224
363,fairfield,41.2668,-73.3162,291.67,43,0,5.14,US,1713900187
364,moanda,-1.5575,13.2178,295.76,98,82,1.11,GA,1713900432
365,dudinka,69.4058,86.1778,262.41,87,92,6.26,RU,1713900433
